Pobreza binaria,POBREZA,,Ingresos,Nivel de Estudio alcanzado,Grupo de Edad,,4162
1,3,,"42,000.00",4,7,,5288
1,3,,"40,000.00",5,14,,
1,3,,"31,000.00",4,10,,
1,3,,"30,000.00",6,14,,
1,3,,"30,000.00",5,9,,
1,3,,"26,250.00",4,8,,
1,3,,"25,000.00",6,15,,
1,3,,"25,000.00",5,10,,
1,3,,"23,000.00",6,7,,
1,3,,"22,135.00",5,16,,
1,3,,"20,000.00",2,12,,
1,3,,"20,000.00",5,11,,
1,3,,"20,000.00",6,9,,
1,3,,"20,000.00",6,9,,
1,3,,"20,000.00",6,9,,
1,3,,"20,000.00",5,8,,
1,3,,"20,000.00",5,8,,
1,3,,"20,000.00",5,7,,
1,3,,"19,200.00",2,6,,
1,3,,"18,000.00",4,12,,
1,3,,"18,000.00",5,9,,
1,3,,"18,000.00",6,8,,
0,1,,"18,000.00",3,6,,
1,3,,"16,000.00",2,11,,
1,3,,"16,000.00",5,11,,
1,3,,"15,550.00",4,9,,
1,3,,"15,400.00",3,4,,
1,3,,"15,000.00",2,16,,
1,3,,"15,000.00",5,15,,
1,3,,"15,000.00",5,14,,
1,3,,"15,000.00",5,13,,
1,3,,"15,000.00",5,13,,
1,3,,"15,000.00",5,13,,
1,3,,"15,000.00",5,13,,
1,3,,"15,000.00",5,11,,
1,3,,"15,000.00",3,11,,
1,3,,"15,000.00",5,11,,
1,3,,"15,000.00",5,10,,
1,3,,"15,000.00",5,10,,
1,3,,"15,000.00",4,10,,
1,3,,"15,000.00",5,9,,
1,3,,"15,000.00",3,9,,
1,3,,"15,000.00",3,9,,
1,3,,"15,000.00",2,8,,
1,3,,"15,000.00",4,8,,
1,3,,"15,000.00",6,8,,
1,3,,"15,000.00",5,8,,
1,3,,"15,000.00",6,8,,
1,3,,"15,000.00",2,7,,
1,3,,"15,000.00",3,7,,
1,3,,"15,000.00",4,7,,
1,3,,"15,000.00",5,6,,
1,3,,"15,000.00",4,6,,
1,3,,"14,800.00",5,9,,
1,3,,"14,000.00",5,8,,
1,3,,"14,000.00",5,8,,
1,3,,"13,500.00",6,7,,
1,3,,"13,000.00",5,14,,
1,3,,"13,000.00",6,12,,
1,3,,"13,000.00",4,10,,
1,3,,"13,000.00",5,9,,
1,3,,"13,000.00",2,7,,
1,3,,"12,500.00",2,12,,
1,3,,"12,255.00",3,5,,
1,3,,"12,200.00",5,8,,
1,3,,"12,000.00",4,14,,
1,3,,"12,000.00",5,13,,
1,3,,"12,000.00",6,13,,
1,3,,"12,000.00",2,11,,
0,2,,"12,000.00",2,11,,
1,3,,"12,000.00",2,11,,
1,3,,"12,000.00",3,10,,
1,3,,"12,000.00",3,10,,
1,3,,"12,000.00",5,10,,
1,3,,"12,000.00",3,10,,
1,3,,"12,000.00",5,9,,
1,3,,"12,000.00",4,9,,
1,3,,"12,000.00",3,9,,
1,3,,"12,000.00",5,9,,
1,3,,"12,000.00",6,9,,
1,3,,"12,000.00",6,8,,
1,3,,"12,000.00",6,8,,
1,3,,"12,000.00",5,8,,
0,2,,"12,000.00",2,7,,
0,2,,"12,000.00",3,7,,
1,3,,"12,000.00",4,7,,
1,3,,"12,000.00",5,7,,
1,3,,"12,000.00",5,7,,
1,3,,"12,000.00",5,7,,
1,3,,"12,000.00",5,6,,
1,3,,"12,000.00",5,6,,
1,3,,"12,000.00",5,6,,
1,3,,"12,000.00",5,6,,
1,3,,"12,000.00",3,4,,
1,3,,"11,700.00",2,12,,
1,3,,"11,600.00",4,8,,
1,3,,"11,500.00",6,11,,
1,3,,"11,000.00",5,10,,
1,3,,"11,000.00",5,10,,
1,3,,"11,000.00",4,8,,
1,3,,"11,000.00",5,8,,
0,2,,"11,000.00",5,6,,
0,2,,"10,920.00",3,4,,
1,3,,"10,800.00",5,10,,
1,3,,"10,660.00",5,13,,
1,3,,"10,600.00",4,11,,
1,3,,"10,400.00",4,11,,
0,2,,"10,400.00",4,8,,
1,3,,"10,300.00",5,11,,
1,3,,"10,200.00",5,11,,
1,3,,"10,125.00",5,11,,
1,3,,"10,102.00",5,11,,
1,3,,"10,000.00",2,15,,
1,3,,"10,000.00",5,15,,
0,2,,"10,000.00",2,14,,
1,3,,"10,000.00",2,14,,
1,3,,"10,000.00",2,13,,
1,3,,"10,000.00",4,12,,
1,3,,"10,000.00",5,12,,
1,3,,"10,000.00",2,11,,
1,3,,"10,000.00",5,11,,
1,3,,"10,000.00",5,11,,
1,3,,"10,000.00",4,11,,
1,3,,"10,000.00",6,11,,
1,3,,"10,000.00",4,11,,
1,3,,"10,000.00",6,11,,
1,3,,"10,000.00",3,11,,
1,3,,"10,000.00",2,11,,
1,3,,"10,000.00",5,10,,
1,3,,"10,000.00",5,10,,
1,3,,"10,000.00",5,10,,
1,3,,"10,000.00",5,10,,
1,3,,"10,000.00",5,10,,
1,3,,"10,000.00",5,10,,
1,3,,"10,000.00",4,10,,
1,3,,"10,000.00",5,10,,
1,3,,"10,000.00",5,10,,
1,3,,"10,000.00",5,9,,
1,3,,"10,000.00",5,9,,
1,3,,"10,000.00",5,9,,
1,3,,"10,000.00",6,9,,
1,3,,"10,000.00",5,9,,
1,3,,"10,000.00",5,9,,
1,3,,"10,000.00",5,9,,
1,3,,"10,000.00",3,9,,
1,3,,"10,000.00",5,9,,
1,3,,"10,000.00",6,9,,
1,3,,"10,000.00",5,9,,
1,3,,"10,000.00",5,9,,
1,3,,"10,000.00",5,9,,
1,3,,"10,000.00",4,9,,
0,2,,"10,000.00",2,8,,
0,2,,"10,000.00",4,8,,
1,3,,"10,000.00",5,8,,
1,3,,"10,000.00",2,8,,
1,3,,"10,000.00",3,8,,
1,3,,"10,000.00",6,8,,
1,3,,"10,000.00",4,8,,
1,3,,"10,000.00",5,8,,
1,3,,"10,000.00",5,8,,
1,3,,"10,000.00",6,8,,
1,3,,"10,000.00",4,8,,
1,3,,"10,000.00",4,8,,
1,3,,"10,000.00",5,7,,
1,3,,"10,000.00",4,7,,
1,3,,"10,000.00",5,7,,
1,3,,"10,000.00",4,7,,
0,1,,"10,000.00",2,7,,
1,3,,"10,000.00",4,7,,
1,3,,"10,000.00",4,7,,
